premise.type,premise
APARTMENT,House
PARKING LOT,Vehicle & Parking Lot
SINGLE FAMILY HOUSE,House
HOSPITAL,Hospital
VEHICLE,Vehicle & Parking Lot
CONDO / TOWNHOUSE,House
STOREROOM/SHED (COMMERCIAL),Commercial
HOTEL / MOTEL,House
CONVENIENCE MARKET / STORE,Store & Restaurant
DRIVEWAY,Streets
RESTAURANT,Store & Restaurant
STREET / ROADWAY / ALLEY / SIDEWALK,Streets
FAST FOOD STORE,Store & Restaurant
FENCED COMMERCIAL YARD,Commercial
SCHOOL-ELEMENTARY/SECONDARY,School
GROCERY / SUPER MARKET,Store & Restaurant
RETAIL BUSINESS,Store & Restaurant
FENCED RESIDENTIAL YARD,House
GAS / SERVICE STATION,Store & Restaurant
SINGLE FAMILY HOUSING,House
PARK / PLAYGROUND,Park
UNKNOWN,Other
BAR / LOUNG / NIGHT CLUB,Store & Restaurant
OFFICE / COMMERCIAL BUILDING,Commercial
DEPARTMENT / DISCOUNT STORE,Store & Restaurant
AIRPORT,Airport
GARAGE,Vehicle & Parking Lot
SPECIALTY STORE,Store & Restaurant
OPEN SPACE / DESERT,Other
RENTAL STORAGE / FACILITY,Commercial
OTHER,Other
BANK / SAVINGS / CREDIT UNION,Commercial
PARKING GARAGE,Vehicle & Parking Lot
SCHOOL-COLLEGE/UNIVERSITY,School
LIGHT RAIL,Vehicle & Parking Lot
MEDICAL OFFICE,Hospital
SCHOOL-OTHER,School
WAREHOUSE / FACTORY,Commercial
CONSTRUCTION SITE,Commercial
CHILD CARE / DAY CARE,School
DRUG STORE,Store & Restaurant
BUS,Vehicle & Parking Lot
MOBILE HOME,House
CANAL / RIGHT-OF-WAY,Streets
THEATRE,Recreation
HOSPITIAL / NURSING CARE,Hospital
STOREROOM/SHED (RESIDENTIAL),Commercial
BUS STATION,Vehicle & Parking Lot
ADULT ONLY STORE / MOVIE,Store & Restaurant
ARENA / STADIUM / CONVENTION CENTER,Commercial
CARPORT,Vehicle & Parking Lot
GROUP HOME,House
NURSING CARE,Hospital
SCHOOL/COLLEGE/CHILD CARE,School
GARAGE / CARPORT,Vehicle & Parking Lot
STREET / ROADWAY / ALLEY SIDEWALK,Streets
CHURCH / SYNAGOGUE / TEMPLE / MOSQUE,Commercial
BUS STOP,Vehicle & Parking Lot
GOVERNMENT / PUBLIC BUILDING,Commercial
TRAIN STATION,Vehicle & Parking Lot
LIQUOR STORE,Store & Restaurant
FOJ - PREMISE UNKNOWN,Other
MOUNTAIN AREA,Other
STOREROOM / SHED,Commercial
RAIL STATION,Vehicle & Parking Lot
JAIL / PRISON / PENITENTIARY,Other
DRIVE-IN MOVIE,Vehicle & Parking Lot
LOAN / FINANCE COMPANY,Commercial
RAIL STOP,Vehicle & Parking Lot
BUS / LIGHT RAIL,Vehicle & Parking Lot
BUS / RAIL STATION,Vehicle & Parking Lot
CYBERSPACE,Other
RIVER BOTTOM,Other
STREET / ROADWAY / SIDEWALK,Streets
LIGHT RAIL PLATFORM,Vehicle & Parking Lot
AUTO DEALERSHIP NEW/USED,Vehicle & Parking Lot
GAMBLING FACILITY/CASINO/RACE TRACK,Recreation
LIGHT RAIL TRAIN,Vehicle & Parking Lot
SHOPPING MALL,Recreation
BUS FACILITY,Vehicle & Parking Lot
SHELTER-MISSION/HOMELESS,Streets
FARM FACILITY,Commercial
LIGHT RAIL FACILITY,Vehicle & Parking Lot
PARK AND RIDE,Vehicle & Parking Lot
DOCK/WHARF/FREIGHT/MODAL TERMINAL,Vehicle & Parking Lot
COMMUNITY CENTER,Commercial
FIELD/WOODS,Streets
AMUSEMENT PARK,Recreation
INDUSTRIAL SITE,Commercial
ABANDONED/CONDEMNED STRUCTURE,Other
ATM SEPARATE FROM BANK,Commercial
LAKE / WATERWAY / BEACH,Streets
TRIBAL LANDS,Other
REST AREA,Vehicle & Parking Lot
EASEMENT,Other
CAMP/CAMPGROUND,Recreation
MILITARY INSTALLATION,Commercial
ALLEY,Streets
